,content
22,"On 31 January 2018 my flight from Ktm to del was dallied because of bad weather and I missed flight of del to Birmingham and wait at Delhi airport almost 12 hours and I request to staff to provide me hotel but staffs were v rode . I never use this flight again also I never recommend to any other...
"
23,"As soon as I boarded the plane, I can smell trouble. One of the flight steward who greeted us with no smile and was only leading us left or right of the plane was wearing slippers which should only be used in market shopping. Never have I seen a flight steward in my world travels wearing slippers. 8 hours through...
"
24,"We had a night flight for about 3 hours and first time air India in a airbus 321. The interior is super basic but lots of leg room. More than with some more premium airlines. They are efficient in timing. We where super surprised of the amount of food we received during the flight really a lot. Price quality super...
"
25,"The only thing which I liked most is it’s connectivity from India. Where ever you want to go, you will definitely find a good deal for you. In flight entertainment is good but worst part is most LCD don’t work . Else everything is good . Indian airports are best in south Asian region and don’t let you down.
"
26,"We were four friends travelling to Varanasi on Airindia flight fro Delhi to Varanasi via Bodhgaya. In Bodgaya aircraft broke down and crew told us 15 minutes technical snag. but it tool more then 90 minutes and we were kept in aircraft...
"
27,"The flight was fine, the food was fine and the flight crew did their best.
I took inflatable pillows, an inflatable neck supporter, eye mask, headphones and a emergency foil blanket to make myself comfortable.
Returning home, I waited an hour to pick up my luggage ... lesson learned, travel light to avoid delays
"
28,"BEst Experience for a local travel ever. Spacious big flight with no charges to select your seat . Nice authentic Indian Meal - can be done better , Good Price . Nice timings one reaches cochin at 8 am. IN flight entertainment. I hope Air India could have survived without the privatization.
"
29,"The flight was supposed to be TRV-DEL-JAI however, Air India then rescheduled the flight from DEL-JAI to be taking off before the TRV-DEL flight had landed. This meant that the choice was either a 35 hour flight with 3 stopovers or moving it to a day earlier. Which after a 45 minute call on confirming the details were still the...
"
30,"Very disappointing flight both ways. Staff very unhelpful and rude. . TVs didn't work on the outbound flight. Food terrible and cold. Staff didn't offer drinks during the flight in between meals. It was a long flight and was very uncomfortable
"
31,"Air India was a suppressing good airline,over the last few years 2-3 years have heard that they are trying hard, the in flight service and meals suppressing good and a very good leg space
"
32,"Premium Economy is concept popularized by many international carriers, but Air India economy cabin is already better then in comparison to other indian airlines aircraft carrier, plus pilot skills depends on every flight but overall air india pilots experience and in flight crew hospitality is at par and is quite original instead of artificial like others. The crew are veteran...
"
33,"The check in at counter was very smooth. The flight was from International Airport and staff were cooperative explaining procedures.
The cabin and seat were hygenic
"
34,"Nice flight, nice food and good legroom that is what everyone looks for and that is what i got. What more the flight was just delayed by 30 minutes which they made up during the flight. The plane was neat and clean and the hostess were efficient and soft spoken.
"
35,"Honestly the worst service I have ever experienced on and off a plane , no leadership or compensation for not having enough staff meaning flights were delayed and passengers made to sort themselves out. Even the aftercare was poor and no one I spoke to got any refund or response from the complaints team.
"
36,"I have travelled in the past also on air India but now I have decided not to travel in future on this airline.There is nothing good to write about.
"
37,"Not as comfortable as the larger airlines. Service haphazard. Meal choices poor. Take off and landings very good.
"
38,"I was traveling back from London to Delhi on Air India AI162, flight was good, no problem, reached delhi before time.
Food & liquor was fine as well. No complains
"
39,"The flight was short, so poor service was not a big issue. The food was very nice and the aircraft was not that bad, but the flight attendants were not helpful at all. They never came to assist when you try to call for help. I wouldn't ask for more due to the relatively low price.
"
40,"I have been flying with Air India for past 6 years and recently I took the SFO to Delhi flight. I must say their service has been improving. Enjoyed the food, the courteous staff and the in flight entertainment. It was a 16 hour flight, which at onsite seemed extremely long, but once you are on board, you don't feel...
"
41,"Too a flight from Delhi to Goa on 24/1 at 12:50. Check in very quick, flight itself all good. Got hot lunch which was not expected on a domestic flight. Shops at Delhi airport expensive, cheaper in London
"
42,"AI 334 from New Delhi to Bangkok on 21 January. We booked Business Class tickets. Even the seats did not recline. This is the worst possible way to travel on an overnight flight, particularly if you have paid a Business Class fare and at least want to rest, if not sleep. Even the dinner service, which most passengers in Business...
"
43,"Travelled on the flight AI 013 from Delhi to Ahmedabad,
We had arrived in Delhi from Jodhpur on AI 476, so had the boarding passes already that were issued in Jodhpur, and also our bags were tagged to Ahmedabad, so we had only our hand/carry-on baggage with us.
We arrived at Delhi Airport at around 4:20 pm, and were directed...
"
44,"Took the Air India flight AI 476 from Jodhpur to Delhi.
Since we had booked a ticket to Ahmedabad via Delhi from Jodhpur, our luggage was through checked-in and we got boarding pass for both the sectors (JDH - DEL, DEL - AMD).
The aircraft (VT PPA), though about 10 yrs old, was well maintained. Crew was smiling and helpful....
"
45,"Air India Airline offers really offers a great experience to it's customers offering more check-in(25) and hand baggage(8+4) allowance then other airlines at no extra charge. In case you still want more then you can certainly avail that by paying. It also offers you free meal/snacks.
Particular to this flight:
1. This flight will always be delayed as it comes...
"
46,"Our flight was cancelled when we got to the airport in New Delhi, they said delay but it was just one flight on the following day which already existed.
We where supposed to leave at 23h and finally did but with BA at 11h the next morning as the air India flight was not until 15h on the following day....
"
47,"altogether a very good flight in a dreamliner,staff were pleasant and heloful but were not au fait with the screens and we had difficulty finding the english language for films. food was good but drink selection limited.
"
48,"I read many negative reviews about Air India. I decided to try it anyway as they have the only nonstop flight from Chicago to New Delhi. What a great surprise. The flight was smooth and staff attentive. The food and wine were really, really good. Terrific service. Seats laid out flat and I slept like a baby. All the video...
"
49,"The flight was comfortable and value for the money. traveled first time in Air India. customer service very good. seat comfort is average. flight stated on time and reached the destination by 10 min late. check in and boarding is comfortable.
"
50,"Having read some of the reviews I was not expecting great service but honestly the staff were all brilliant from the check in to the cabin crew they couldn't do enough and some of the passengers were quite demanding . The food was not to my taste but as most of the passengers were Asian origin you can't complain if...
"
51,"Nothing to brag about. But one needs to confirm directions provided by the staff at the check in counter. After checking my baggage I was asked to proceed for Security check. New Delhi Airport has 2 separate points for this. One is for domestic flights and the other for International. The staff behind baggage counter simply pointed in the general...
"
52,"The two legs of domestic travel were no better than a cattle car. Literally the dirtiest interior cabin I have ever experienced. The service was tired and humorless. The international flight we took from New Delhi to Sydney was on a brand new plane and was spotless. The service was notably better and we had a very pleasant experience. It...
"
53,"My grievance is the AI personnel at the check in counter. Flight was leaving at 5.30pm and when I checked in at 4.20pm, they said counter and gate was closed. There were 51 people waiting to check in but the counter personnel did not do anyhting until I started to make noise. We finally all got checked and managed to...
"
54,"Our return trip from Kathmandu to Goa was disaster, only because of Air India.
We paid a lot of money to get reasonable traveling time, it was supposed to be around 7 hours, when we finally reached Goa we have travelled nearly 20hours! We paid a lot for nothing!
All the flights were late/delayed, flight personnel did not give us...
"
55,"The flight was comfortable and plenty of food to eat. The service was also good. I cannot complain about anything except that plane was looking bit worn out.
"
56,"Direct flight from Madrid to Delhi. The entertainment on board is very poor. The flights were punctual
"
57,"A lot of positive changes are happening in Air India.
Despite Jan being a month of delays and cancellations, my both flights of Chennai- Mumbai and Mumbai-Raipur were bang on time.
The check in was prompt and efficient and the person who handled my check in was a cheerful person with a pleasant attitude about him.
The meal served on...
"
58,"Nice ambiance, service is also good. Food is great, my favorite part in their food is they add a local touch like if you are travelling to Kolkata, you get some Kolkata items like rosogolla in the snack or dinner or lunch, same applies for other states. Crews are also great at their service and behavior.
Need to work on...
"
59,"It was delayed, as usual, food was average, services were robotic... but with a smile!!
I would pay 10-15% more and go by Thai if AI does not improve within a reasonable timeframe. Means that the employees needs to be “re-trained” the importance of priorities, responsibilities and giving equal respects to paying customers.
Benefits are, you still gets to smell...
"
60,"Flight was on time for a change and were served with decent food. Flight time was changed and before schedule time... this helped us reach mumbai on time.
"
61,"I fly roughly 60-80 times between Dharamshala and Delhi every year and I can tell you that even though I would not prefer Air India on any other route I would give them 100 percent on this one. There are two flights a day from Delhi and vice Versa. Please be patient if there is a delay since weather rapidly...
"
62,"Air India 401 start time 6.50 am from Del- kol is a Dreamliner and have a good sitting and leg space. It is indeed nice to fly and enjoy the veg meal and reach timely. I am glad to travel in that flight as it gives a nice experience as it comes with entertainment systems and you can watch TV...
"
63,"Smooth take off and convenient landing... On time, no delays, very good food. Only that, non veg is not served here.
"
64,"The Dreamliner business class was the best travel I have had. The flight experience and the service was very good and I would travel on the Dreamliner again any day.
"
65,"Was pleasantly surprised with the service and politeness of the staff... cleanliness could do with a lot of improvement .. it was an old aircraft so the trays and pockets were falling apart... food was very decent ..
"
66,"Namaste! This is my first time traveling with Air India and to be honest, the service was good, I can’t complain. Maybe they need to improve with the individual screens, the touch screen was not working in mine, they I managed to use with the control. I try for the first time Vegan food and was good. What I like...
"
67,"The seats sag, there are torn or broken seat pockets, the food is unimaginative and sadly, even the service which used to be a saving grace is lacklustre and sluggish . Patriotism apart, it is difficult to see what would make one fly this airline. But it does score over other domestic Indian airlines in that the baggage allowance is...
"
68,"Travelled with Air India business class on a recent holiday. It was a great price compared to some other airlines so value for money was good. Food and service were both great and lie flat seat was a godsend on a long flight. Only reason I won't give five stars is that my seat and my wife's were both faulty...
"
69,"For me, the Dreamliners service of Air India between Kolkata and New Delhi is the best option to fly between these two metros. The ticket price is competitive with the no-frill airlines but Air India offers excellent food of Taj-sats, extra free baggage allowance than any other and most importantly, a nice flight in a Dreamliner with personal video to...
"
70,"check in process was good even boarding was on time well organized ,
flight on time comfortable flight
"
71,"i visited for a business trip and it was on time and also offered good food to keep us entertained in the 2.5 hr flight
"
72,"Flying Air India to Mumbai was a bad decision. Firstly they are expensive tickets and then takeoff/land at International airport. Checking in and check out is a major problem. Luggage takes too much time to come out. Worse part is getting Ola or Uber takes too much time. Number of passenger makes wait time long plus we end up paying...
"
73,"It was a good flight given that I was only flying domestic but I believe that was due to fact that flight was further going on international route and it was just a stopover in Delhi. But for me it was good as the flight was good and food wasn't bad.
On the other hand, flight was delayed for more...
"
74,"Although air india does have many negative reviews, i think, after flying the same journey 4 times, air india is actually a very comfortable airline to travel with. The seat was very clean, as was the cabin. Food was okay (average for all planes) and the staff were also very helpful. A few downsides are that, once they messed up...
"
75,"It was a flight from BHUJ to Mumbai in the morning! Check in was quick and easy. Saw this new type of cable tie which were used to secure the luggage. The plane was ATR 600. It was clean. One of the tray table had a missing screw. The food was not so good. And they didn't serve the tea...
"
76,"Very good flight, crew very friendly and we even got breakfast as it was an early morning flight, we were not expecting food for a short journey. Smooth take off and landing and we could have 25kg luggage, obviously for our few days away we didn't have much because our return flight with another airline only had 15kg each so...
"
77,"traveled on bikaner-delhi. ATR 42-300 aircraft. Aircraft looked new. It arrived late in Bikaner so departed late at 3.30 pm (instead of 3.10 pm), still it was announced during the flight that it left on time. Food - almost nothing. Just a small cold sandwich. AIr India should improve on food part. 2 flight stwewards, young. The one doing the...
"
78,"My first trip involving short haul travel in India. It seems that flights in India are either very very expensive (this one) or very very cheap (between major cities) depending on the degree of competition. This ticket was over £300 one way for a 1 hour in the air flight, booked 2 months ahead.
Unsurprisingly at these prices, business class...
"
79,"It was a great experience, new 787 Dreamliner plane, nice a gentle crew, on the ground and on board, and very good service and food during flying.
Overall great experience and I would not hesitate to fly AirIndia again.
"
80,"Air India is improving day by day,We Travelled Dubai to Delhi in Jan 2018 ,Flight was on time and landed well on time,On board experience is good, food quality is good, but i must suggest air india kindly improve your cabin crew and their outfit which is far behind then others Although Air India is good .All the best
"
81,"On time departure from Hyderabad Airport. Have decent in-flight entertainment system.The special meal that I ordered (lcml) was delivered first and had awesome taste.
"
82,"This was the most basic flight I have been on in years. I mean, we got to and from destinations fine but I am talking absolutely no frills for the 3.5 hour flight. Basic snack on the way to Colombo and mediocre at best breakfast on the way back from Colombo. No screens, very outdated bathrooms, uncomfortable chairs, really just...
"
83,"We booked 4 flights with Air India for Dec 2017/Jan 2018 and found the airline to be the worst airline we’ve ever travelled with.
On our first flight from Delhi to Kullu on 25/12/17 we were denied check-in and boarding passes despite the info boards still showing check in as ‘Open’. We spoke to the Manager who looked at the...
"
84,"Hi,
Ticket number - 0985778057844
AI 173
Date 16th Dec
My family from India travel in AirINDIA 6-8 times a year from Inida-USA. This was my 1st trip in AirIndia with my infant. I had requested for a bassinet seat and i was promised and assured a seat when i called the call center and upon asking for confirmation i...
"
85,"On time departure from Delhi International Airport. Have decent in-flight entertainment system though there was a problem with my system. Rest had a smooth experience starting from take off to landing.
"
86,"Had bulkhead seat for free and the flight itself was awesome. The special meal that I ordered (lcml) was delivered first and had awesome taste. Also the crew was at its best. There was slightl delay due to weather conditions but nothing to blame to airline.
"
87,"Travelling from Srinagar was one of the worst experience. The ground staff are very rude. The baggage check in take lot of time.The ground staff are very bias toward their own people. It was a terrible experience.
"
88,"Recently flew from Delhi to Jaipur on ATR .
Flight was delayed for over an hour and Air India informed about it a day prior on mobile calls twice, SMS and email....wonder why the exuberance!!
At the time of boarding there was an over powering official of Air India who did not seem to want the flight to leave. At...
"
89,"Delhi to Madrid a direct flight specially in a dreamliner 787 it was fun. Flight took off on time landed just on time. Good service but food could have been better. Overall highly recommend.
"
90,"We were late to reach Mumbai airport due to unexpected heavy traffic and the Air India ground staff at T2 helped us in such a way that we could catch the flight. They took us ahead, arranged a separate person to help us on a separate counter and guided us to the proper gate so we could catch the flight....
"
91,"Everything was good expect there one crew member... We asked for coffee but that guy didn't brought the coffee ...
Food was good, aircrafts were maintained and clean, air pressure was being maintained and the flight was before time.
"
92,"Clean, nice food, more species than other plans. Only one side management have to look serving staff are very very cheap they are not up to standard as Indian Prime Minister always says young India. But where is that young India why not in Air-India. Management should bored in young India. Show to world young India beautiful India.
"
93,"Flying Air India after more than four years. A lot has been said about their shoddy service.
I was pleasantly surprised by the service. Compared to the other full service carriers like Jet, Air India offers a better quality of service. The aircraft was new and well maintained.
"
94,"Everything is nice in Air India. Except its complementary meal - which is not at all edible. luggage allowance is high as 25 kg for economy and 40 kg for buisness
"
95,"The planes were not new, but there was enough legroom, the in-flight entertainment and the food were nice, staff was kind. The only thing is that on both flights (from and to London) we didn't receive enough water. They never distribute bottles, you have to go and ask the kitchen and they only give you small cups.
"
96,"Both airplanes we took were quit unpleasant. The toilettes were dirty and smelling, which is something I would accept being in India but not in the air. But worst of all was the food. Really, really bad. And this was the status on all flights with air India that we took. Even though the domestic flights within India probably was...
"
97,"Its a 3 hrs 35 minutes flight from Delhi to Muscat. The flight was delayed for more then 2 hours. The passengers were not informed about the delay. When I asked to Air India desk attendant to call his manager , he refused it. Staff were not at all concerned about the passengers. My only request to all the readers...
"
98,"Nice and comfortable flight with good meals and gentle service,clean airplane.I’ve always been on time at destination.
"
99,"A friend and I optimistically allowed three hours to switch from domestic to international at terminal 2 Mumbai as there are few Air India flights between Nagpur and Mumbai. The flight was delayed two hours and, despite Air India assuring us they had made arrangements to make sure we made our connection at Mombai, nothing was arranged when we got...
"
100,"just can't beat the round trip price of $50 USD to Hyderabad. found my flight on google flights. its worth it all day.
"
101,"Great service, super attentive and courteous flight attendants. Great food. Roomy seats, a great flight at a great price.
"
102,"I was looking forward to travelling with this one for a long time and finally got a chance. The Air India lounge at T3 is spacious and probably the biggest in terms of area. The menu was decent and has got a good variety of hard drinks. The flight travel was nice and probably better on the way back when...
"
103,"Due to snow we was stuck on the tarmac for nearly 5 hours on our outwards flight from Birmingham, air line staff was amazing, comforting and provided an amazing service...., well done Air India
"
104,"The 787 Dreamliner was clearly specced to maximise passengers with limited bathrooms and basic galleys, but the seats and space/legroom were as good as any airline I've flown on. The entertainment system was ok with a reasonable selection of new Hollywood releases, but not much choice in terms of older movies or TV series. And no western music channels which...
"
105,"I am flying today 22nd Jan'18 to Kathmandu on Air India flight AI 247 from Kolkata. The scheduled departure was at 1.55 pm and we checked in at 12 noon. Checkin was smooth and we selected seats A and B to have a better view of the Himalayan ranges. The aircraft was a Airbus 319 series one and looked ageing....
"
106,"Was travelling to New Delhi on flight AI 76 from Bhubaneshwar with family. It was an Airbus A320 aircraft which operates as domestic leg of the part International flight to Dubai. Seating had business and economy options with where around 12 seats allocated for business class. Overall a non-eventful flight.
Pros:
1. Flight booking was done through the Air India...
"
107,"Worst experience! They were using A320, and for 5 hours flight it was too cramped up and seats had very thin cushioning! Not recommended at all!
"
108,"i personally never had any bad experience and even like the food they serve BUT most of the time the aircrafts are so old in such bad condition that one is really scared that it will fly at all. Thankfully all of them did till date.... non functional and dirty toilets is another majot issue so make sure that you...
"
109,"We , altogether , 7 persons travelled from Jammu to Pune via Delhi . I would like to write about my / our nice experience. The flight was on time. The service was excellent. The interior was pleasant. The vessel with spacious space for moving around. No unwanted jerks, no sound pollution -within the vessel. Takeoff & landing was also...
"
110,"We were going from Hyderabad to Trivendrum with stop over at Benguluru, however the Bangalore Air India staff made life hell of all passengers, first by not telling the undue delay due to fog. Secondly they boarded the passenger in bus and bus was not allowed to move for 30 min. Finally we boarded the aircraft and kept sitting for...
"
111,"Flew from ORD to Del, Del to VTZ, VTZ Del and Del to ORD.
The flights were on time, the seats were spacious, and the food was good. I am lactose intolerant, and they made a special effort to accommodate me. The flight attendants were good and seemed to care inspite of a full flight. However, the planes are dirty...
"
112,"This is a poor airline with old junk planes, horrible service, rude air hostesses, bad toilets, broken seats, ripped carpet, entertainment and TVs not working and lost goes on.
Where should I start, just remember, avoid this plane and airline unless you want to suffer. This is 15 hour flight of suffering and horrible experience. Return I had to upgrade...
"
113,"Took flight AI-581 from Mumbai to Kozhikode and a pleasant experience. The flight was re-scheduled by 30 mins and it was informed by SMS a day before. Plane was clean, Breakfast served was good and I appreciate the efforts taken by attendant to arrange us Jain Meals + Extra Fruits. All of this made our experience flying with Air India...
"
114,"It is hard to work out where to start.
Our trip started with a delay of 4 hours, we understand these things happen so we were not upset by this even though it made us miss our connecting flight. The real fun came when we landed in Delhi. Our 45 minute flight left Amritsar at 6:00 pm and arrived in...
"
115,"One of the most disgusting experience flying by a full service national airliner. First the web check-in portal will not work and the AI Chicago agent was clueless on how to web check-in a passenger. In flight experience was even worst. Toilets were dirty and full of filth. In flight entertainment service was not functional and could not be even...
"
116,"We chose to fly Air India from Chicago to New Delhi in December 2017. I was a bit skeptical flying Air India because the reviews online were all over the place; some people loved it, while others hated it. We had to try it for ourselves, and besides there was no other airline that had a nonstop direct flight to...
"
117,"It s a brand new Dream Liner, very comfortable. I took this flight because we missed the BA flight to London. it was actually better than the BA Economy plus. good leg room, USB charging (which BA didn't have), the food was better than BA as well.
They also got someone to take us to our connection flight in MPX...
"
118,"My family and I recently flew with Air India from Amritsar to Udaipur via a connecting flight in Dehli. Our first impression of Air India was distasteful and we were left very disappointed.
Our original time of departure was 6:50am from Amritsar. This was delayed till 7:10am. For us this didn’t make much of a difference as it was only...
"
119,"After finishing a week traveling the golden triangle my mother and I couldn’t wait for our relaxing week in Goa. From the moment we stepped in side the airport it went from bad to worse. At check in although they knew the flight was already delayed by 2 hours 5 minutes nobody advised us. This meant we could not make...
"
120,"We too the direct Air India flight from Newark, New Jersey to Mumbai as well as back in December 2017. The flight from Newark was as usual late boarding. But not a big issue since usually they make up in the flight time and reached Mumbai on time. The ground staff seemed totally untrained - one of the ground staff...
"
121,"First thing I think about, while booking a 16 hour flight, is leg space and entertainment system. I was surprised to find great leg space in AI191. The lighting in flight was very well. Boarding started on time and flight took off on right now. Airline staff was very polite and helpful and food served was hot and nice. Only...
"
122,"I chose Air India from DEL to JFK, as this was the only direct option available. I must say that the Air India ground staff at Delhi Airport is one of the rudest I have ever experienced. My parents had a separate flight to London exactly after an hour and they felt the same thing. The staff looked inexperienced and...
"
123,"I have been flying all airlines in the domestic circuit. I fly Air India very frequently and there is much for Air India to focus on lest it falls below par. As such the airline is revived only by Govt funding as we understand. So please look into all aspects like web portal, crew efficiency, cabin crew courtesies, timeliness, and...
"
124,"Lots of reviews that the airline is prone to delays .. Was surprised that it took off on time and reached Goa on time...
The food served on board was tasty and filling ..
Overall service was very good
"
125,"Compared to what we generally hear about Air India's in-flight services our experience in the flight to Singapore and back was surprisingly pleasant. The staff was friendly and help full, entertainment screens had ample content, food served was hot and tasty specially in our return journey as we were served proper dinner on our way back. I have been to...
"
126,"Staff is very co-operative. Especially to people with wheel chairs. Considering a long flight, staff is very helpful even in last hours and always happy to help/serve.
"
127,"On 17 January I came from Dubai to New Delhi flight timings is 00:05 but flight was delay 15 min. After that in flight crew member r not so attractive towards the passengers no Wellcome no smiling.after that when drinks service was came in that time I m asking for water but no one can given me the water, after...
"
128,"Reserved Air India for London to New York. It was the only airline at the time that wasn't charging a premium for a one-way fare.
Boarding was disorganized. The signs said that boarding would be by row, so I waited in my seat, as everyone else lined up. Then the gate staff proceeded to board people first-come, first-served. I think...
"
129,"I booked a round trip flight from Chicago to Hyderabad with Air India. The flight has pretty good leg space compared to Emirates and British airways that I traveled earlier. Food is good. The only issue we had is that all the entertainment system are old and for most of the the remotes doesn't work.
"
130,"Comfortable flight, good service and friendly and nice crew. The flight was on time and we weren't impacted like other flights that day (due to fog)
"
131,"I, for one, have never had a bad experience with Air India!
Started travelling frequently with the Airlines in 2014, mostly International flights, both outbound and inbound from the IGI.
The only issue I have is that at the time of Check-in at the IGI, the counters almost always fall short, and this time, the same personnel were handling the...
"
132,"4hr di stay de k 8hr wait krwayi plain ch baithn te plain ch technical prblm agi shukr thnks to god uppr he ni khdr gya plain eni gandi service te fligh in maah whole lyf nvr n evr visit wid air india for all staff and for air india i wnt to shw u one thng 👊🏻🤮🖕🏻
"
133,"The food was really awesome as compared to other flights. But but but there's stigma about Indian people in the minds of flight attendants. Not all people are same. You can't treat all the people from one race equally based on your previous experience.
"
134,"I flew roundtrip JFK-DEL via AI Flight 102 on December 20, 2017 and then AI Flight 101 On January 5, 2018 and had my worst airline experience to date (and a fly a lot!).
1. Unhygienic
- diarrhea after eating the food on the flight to India (but no issues in India itself! I didn't eat the food on the...
"
135,"This was one of the worst travel experiences I have had. We were flying from Udaipur to Kochi through Delhi. In the Udaipur airport we were informed that due to weather (smog and smoke in Dehli), our flight was delayed. This makes sense and there is nothing the airline can do about it so no problems with the delay.
Because...
"
136,"i was a little apprehensive about missing this flight as our jet airways flight from Jorhat was about 1 hour behind schedule due to fog in Delhi. Anyways we reached the check in after baggage scanning and proceeded to the departure gates. There we were in for a pleasant surprise. we were told that we had been upgraded to business...
"
137,"I am not a frequent flyer of Air India. But whenever I took their flight, I found it near upto my expectations, doesnt matter in which city I'm. Timely arrival, departures, check-in, boarding etc. One may not find young air hostess here, as per my experience. But that doesn't matter for me. Had a nice flight!
Note : A bit...
"
138,"Air India, is pretty good for flying internationally from India. The aircraft, a Boeing 777-ER, was clean and was maintained pretty well. Legroom was pretty good, and seat comfort was good enough to go ahead and get some sleep on this flight. The entertainment selection was all right, though it was quite outdated. It had an episode of Shark Tank...
"
139,"The flight was a good experience, as it appears to have improved from its earlier dubious reputation. The checkin was smooth and quick, the boarding too. The crew were as usual indifferent and not too courteous. Just a sandwich was served on board this flight. This was a jumbo jet coming from Jeddah going to Mum via Hyd. On arriving...
"
140,"We travelled from Colombo to Delhi and were expecting to reach the direct connection from Delhi to Copenhagen. The departure from Colombo was 3 hours delayed so we missed the connection. Instead, they transferred us to Aeroflot via Moskow and we arrived home 20 hours delayed.
We were stuck for 8 hours in the Delhi transit area before we could...
"
141,"It was wonderful.The dream liner aircraft is new and good.This was my sixth flight in last 2 years.
Flat beds provided all the comfort and a relaxing time.Ability to sleep is great help in combating tiredness.
The meals were good and even vegetarians had a choice of Asian or European meal with 5 course meal.
The air hostesses were polite,...
"
142,"I arrived just 50 minutes before the flight was due to take off and was flying on the domestic leg of an International flight.
The AI ground staff helped me get to the head of every line and make it to the flight on time.
As a bonus, I got served piping hot Kachoris, Dal, Motichoor Laddu, and Coleslaw Sandwich...
"
143,"This flight always take off in time and land in time.the service provided in side the flight is excellent,The food they provide is very good.
"
